# Every production in the vendored lily/parser.yy, at the v2.27.2 pin.
# Generated by RuleManifest.Render; committed data, regenerated only on a
# deliberate re-sync of parser-mirror/. See Actions/RuleManifest.cs.
#
# has-action<TAB>parser.yy-line<TAB>rule-identity
action	1957	function_arglist_nonbackup: function_arglist_nonbackup_reparse REPARSE bare_number_common
action	1961	function_arglist_nonbackup: function_arglist_nonbackup_reparse REPARSE SCM_ARG
action	1965	function_arglist_nonbackup: function_arglist_nonbackup_reparse REPARSE lyric_element_music
action	1969	function_arglist_nonbackup: function_arglist_nonbackup_reparse REPARSE symbol_list_arg
action	1976	reparsed_rhythm: DURATION_ARG dots multipliers post_events %prec ':'
action	1990	function_arglist_nonbackup_reparse: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup SCM_IDENTIFIER
action	2008	function_arglist_nonbackup_reparse: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup pitch
action	2019	function_arglist_nonbackup_reparse: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup steno_tonic_pitch
action	2030	function_arglist_nonbackup_reparse: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup STRING
action	2047	function_arglist_nonbackup_reparse: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup SYMBOL
action	2064	function_arglist_nonbackup_reparse: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup full_markup
action	2077	function_arglist_nonbackup_reparse: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup UNSIGNED
action	2100	function_arglist_nonbackup_reparse: EXPECT_OPTIONAL EXPECT_SCM function_arglist_nonbackup DURATION_IDENTIFIER
-	2117	function_arglist_backup: function_arglist_common
action	2119	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup embedded_scm_arg
action	2128	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup post_event_nofinger
action	2138	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup pitch
action	2154	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup steno_tonic_pitch
action	2170	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup full_markup
action	2179	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup UNSIGNED
action	2206	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup REAL
action	2217	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup NUMBER_IDENTIFIER
action	2227	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup '-' UNSIGNED
action	2246	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup '-' REAL
action	2257	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup '-' NUMBER_IDENTIFIER
action	2267	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup DURATION_IDENTIFIER
action	2281	function_arglist_backup: EXPECT_OPTIONAL EXPECT_SCM function_arglist_backup SCM_IDENTIFIER
