# CodeBrix.LilyPort -- font-build delta ledger (ruling R19).
#
# Every page here renders DIFFERENTLY under the port's own Emmentaler build
# than under the one LilyPond ships.  Same engine, same input, same
# everything else -- so each number is the cost of building our own fonts,
# and nothing else.  Pages absent from this file are byte-identical.
#
# The numbers are EXACT, not sampled: the font build is byte-reproducible and
# the engine is deterministic.  So any change to any of them is a signal and
# has to be explained, even a change that makes a number SMALLER.
#
# verdict  MOVED     marks are in different places; dx/dy are the largest
#                    single-mark displacement in the paper's staff-spaces,
#                    and mm is that converted through this page's own scale.
#          STRUCTURE the page has a different NUMBER of marks.  Only the
#                    -ddebug-skylines pages do this, because they draw the
#                    skylines themselves; `moved'/`total' hold the two counts.
#          ABSENT    the page is missing from the other render entirely.
#          SAME-FONTS both font builds render it identically; it is here
#                    only because the GATE does not certify it.
#
# gate     what the LilyPond-font run graded against the oracle corpus.  A
#          page the gate says MATCH is vouched for by an ORACLE and needs no
#          drift record, so its sha256 column is `-'.  Every other page
#          carries the hash of OUR OWN rendering, which is what the retired
#          baseline/svg used to hold as eight whole files.
#
# file	verdict	moved	total	max_dx_ss	max_dy_ss	max_mm	gate	sha256
lyric-volta-alternative-end.svg	MOVED	1	51	0.0000	0.0025	0.004393	MATCH	-
lyric-volta-alternative.svg	MOVED	1	61	0.0000	0.0025	0.004393	MATCH	-
lyrics-spanbar.svg	MOVED	4	125	0.0000	0.0085	0.014937	MATCH	-
magnifyStaff-time-signature.svg	MOVED	38	59	0.0000	0.0046	0.008084	MATCH	-
markup-compound-meter-denominator-style.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	PLACEMENT-DIFFERS	226c3d6ccb4b501e0fc32b22a464cf70972381d2a9f38131f1f6ae3e691b9859
markup-diacritic-marks.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	GLYPHS-DIFFER	5f0117d213cbf3cc7a21d7d844cbe031164239b1c18da44ab1e7f171653f2c7b
markup-note-dot.svg	MOVED	22	27	0.0000	0.0040	0.007029	MATCH	-
markup-note-sizes.svg	MOVED	210	363	0.0000	0.0075	0.016475	MATCH	-
markup-with-true-dimensions.svg	MOVED	15	22	0.0254	0.0000	0.044635	MATCH	-
measure-counter-alternative-numbering.svg	MOVED	2	188	0.0000	0.0025	0.004393	MATCH	-
mensural-ligature-citations-2.svg	MOVED	63	715	0.0080	0.0096	0.016870	MATCH	-
mensural-ligatures.svg	MOVED	2	651	0.0080	0.0000	0.014058	MATCH	-
mensural.svg	MOVED	2	140	0.0080	0.0000	0.014058	MATCH	-
merge-rests-engraver.svg	MOVED	1	215	0.0000	0.0139	0.024426	MATCH	-
metronome-mark-formatter.svg	MOVED	6	365	0.0000	0.0013	0.002284	MATCH	-
midi-dynamics.svg	MOVED	3	72	0.0000	0.0018	0.003163	MATCH	-
mozart-hrn-3-2.svg	MOVED	1	1191	0.0000	0.0013	0.002284	MATCH	-
mozart-hrn-3-3.svg	MOVED	1139	1238	0.0000	0.0013	0.002284	MATCH	-
mozart-hrn-3-4.svg	MOVED	2	1096	0.0000	0.0013	0.002284	MATCH	-
multi-measure-rest-create-context.svg	MOVED	1	20	0.0000	0.0025	0.004393	MATCH	-
multi-measure-rest-text-spanned.svg	MOVED	1	57	0.0000	0.0025	0.004393	MATCH	-
multi-measure-rest-text.svg	MOVED	1	48	0.0000	0.0077	0.013531	MATCH	-
one-line-auto-height-breaking.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	GLYPHS-DIFFER	4dd046845068c507794cf6dda1ce8d696f7ec1fe274143aecbd09f3a9f0aa052
one-line-breaking.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	GLYPHS-DIFFER	be7ec5a4443b49b61a63ad94aa64064054ad8038ab3d98d262356705636e3248
one-page-breaking.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	GLYPHS-DIFFER	c914ede151d6dbd2a7ab6406c572900f0fa695f824cff49c59e31934bd558938
page-layout-bottom-padding.svg	MOVED	249	375	0.0000	0.0083	0.008022	MATCH	-
parenthesize-singlenotes-chords-rests.svg	MOVED	7	71	0.0000	0.0013	0.002284	MATCH	-
pdf-copy-paste.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	GLYPHS-DIFFER	5f0f94c6e10c3a2d399c926cec5d71343e3f4baf90f2c13eb33370efd2645e32
polymeter-ossia.svg	MOVED	2	68	0.0000	0.0047	0.008259	MATCH	-
polymetric-time-repeat.svg	MOVED	1	278	0.0000	0.0025	0.004393	MATCH	-
profile-property-access.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	GLYPHS-DIFFER	50498eb4cdc72ff090908f282385e679c29f065a1b1de88cfa5f0d20ef7c7d19
repeat-bar-number-engraver-order.svg	MOVED	2	86	0.0000	0.0025	0.004393	MATCH	-
repeat-dc-one-alternative.svg	MOVED	1	39	0.0000	0.0026	0.004569	MATCH	-
repeat-ds-body-empty.svg	MOVED	5	146	0.0000	0.0025	0.004393	MATCH	-
repeat-line-break.svg	MOVED	2	62	0.0000	0.0025	0.004393	MATCH	-
repeat-petrucci-alternatives.svg	MOVED	2	79	0.0000	0.0025	0.004393	MATCH	-
repeat-petrucci-with-measure-bar-lines.svg	MOVED	7	115	0.0000	0.0040	0.007029	MATCH	-
repeat-petrucci.svg	MOVED	2	100	0.0000	0.0040	0.007029	MATCH	-
repeat-sign-global-size10.svg	MOVED	22	68	0.0000	0.0457	0.040154	MATCH	-
repeat-sign-global-size5.svg	MOVED	22	68	0.0000	0.0914	0.040154	MATCH	-
repeat-unfold-all.svg	MOVED	1	52	0.0000	0.0025	0.004393	MATCH	-
