# Grob interfaces declared by C++ ADD_INTERFACE macros in LilyPond v2.27.2
# (commit 2d621459bd44cb1758f822a69757242eab843060), extracted from lily/*.cc.
#
# Upstream registers these from static initialisers before any Scheme runs; the
# port registers them from this table at CreateInterpreter, for the same reason
# and at the same point in the sequence. The interfaces declared in Scheme by
# ly:add-interface (scm/define-grob-interfaces.scm) are a SEPARATE set and load
# afterwards, exactly as upstream -- where the two overlap, Scheme wins, because
# it runs later and ly:add-interface overwrites.
#
# The interface symbol is derived the way lily/grob-interface.cc add_interface
# derives it: camel_case_to_lisp_identifier of the C++ class name, then
# "-interface" appended unless it is already the suffix.
#
# Columns: interface-symbol  cxx-class  upstream-file  properties  description
# Properties are space-separated (upstream parse_symbol_list); description
# newlines are written as \n escapes so every record is one line.
#
# THIS FILE IS DERIVED FROM GPL-3 SOURCE. See THIRD-PARTY-NOTICES.txt.
item-interface	Item	item.cc	break-visibility extra-spacing-height extra-spacing-width non-musical	Grobs can be distinguished in their role in the horizontal spacing.  Many grobs\ndefine constraints on the spacing by their sizes, for example, note heads,\nclefs, stems, and all other symbols with a fixed shape.  These grobs form a\nsubtype called @code{Item}.\n\nSome items need special treatment for line breaking.  For example, a clef is\nnormally only printed at the start of a line (i.e., after a line break).   To\nmodel this, @q{breakable} items (clef, key signature, bar lines, etc.) are\ncopied twice.  Then we have three versions of each breakable item: one version\nif there is no line break, one version that is printed before the line break\n(at the end of a system), and one version that is printed after the line break.\n\nWhether these versions are visible and take up space is determined by the\noutcome of the @code{break-visibility} grob property, which is a function\ntaking a direction (@w{@code{-1}}, @code{0} or@tie{}@code{1}) as an argument.\nIt returns a cons of booleans, signifying whether this grob should be\ntransparent and have no extent.\n\nThe following variables for @code{break-visibility} are predefined:\n@example\n           grob will show:   before  no     after\n                             break   break  break\n  all-invisible              no      no     no\n  begin-of-line-visible      no      no     yes\n  end-of-line-visible        yes     no     no\n  all-visible                yes     yes    yes\n  begin-of-line-invisible    yes     yes    no\n  end-of-line-invisible      no      yes    yes\n  center-invisible           yes      no    yes\n@end example
key-signature-interface	Key_signature_interface	key-signature-interface.cc	alteration-alist c0-position alteration-glyph-name-alist flat-positions sharp-positions padding padding-pairs non-default	A group of accidentals, to be printed as signature sign.
kievan-ligature-interface	Kievan_ligature	kievan-ligature.cc	primitive padding	A kievan ligature.
ledger-line-spanner-interface	Ledger_line_spanner	ledger-line-spanner.cc	gap length-fraction minimum-length-fraction note-heads	This spanner draws the ledger lines of a staff.  This is a separate grob\nbecause it has to process all potential collisions between all note heads.  The\nthickness of ledger lines is controlled by the @code{ledger-line-thickness}\nproperty of the @iref{StaffSymbol} grob.
ledgered-interface	Ledgered_interface	ledger-line-spanner.cc	no-ledgers	Objects that need ledger lines, typically note heads.  See also\n@iref{ledger-line-spanner-interface}.
line-interface	Line_interface	line-interface.cc	arrow-length arrow-width dash-fraction dash-period style thickness zigzag-length zigzag-width	Generic line objects.  Any object using lines supports this.  The property\n@code{style} can be @code{line}, @code{dashed-line}, @code{trill},\n@code{dotted-line}, @code{zigzag} or @code{none} (a transparent line).\n\nFor @code{dashed-line}, the length of the dashes is tuned with\n@code{dash-fraction}.  If the latter is set to@tie{}0, a dotted line is\nproduced.
line-spanner-interface	Line_spanner	line-spanner.cc	bound-details extra-dy gap left-bound-info left-neighbor note-columns right-bound-info right-neighbor thickness to-barline	Generic line drawn between two objects, e.g., for use with glissandi.\n\n@code{bound-details} is a nested alist.  It's possible to specify\nsettings for the sub-properties: @code{left}, @code{left-broken},\n@code{right} and @code{right-broken}.\n\nValues for the following keys may be set:\n\n@table @code\n@item Y\nSets the Y@tie{}coordinate of the end point, in staff-spaces offset\nfrom the staff center line.  By default, it is the center of the bound\nobject, so a glissando points to the vertical center of the note head.\nNot relevant for grobs having the\n@iref{horizontal-line-spanner-interface}.\n\n@item attach-dir\nDetermines where the line starts and ends in the X@tie{}direction,\nrelative to the bound object.  So, a value of -1 (or @code{LEFT})\nmakes the line start/end at the left side of the note head it is\nattached to.\n\n@item X\nThis is the absolute X@tie{}coordinate of the end point.  Usually\ncomputed on the fly.\n\n@item end-on-note\nIf set to true, when the line spanner is broken, each broken piece\nonly extends to the furthest note, not to the end of the staff,\non sides where it is broken.\n\n@item end-on-accidental\nOnly meaningful in @code{bound-details.right}.  If set to true,\nthe line spanner stops before the accidentals if its right bound\nis a note column or a grob contained in a note column, and this\nnote column has accidentals.\n\n@item start-at-dot\nOnly meaningful in @code{bound-details.left}.  If true, the line\nspanner starts after dots, in a fashion similar to\n@code{end-on-accidental}.\n\n@item adjust-on-neighbor\nIf true, the @code{left-neighbor} or @code{right-neighbor} object is\nread, and if it exists, the line spanner starts after it or stops\nbefore it.\n\n@item stencil\nLine spanners may have symbols at the beginning or end, which is\ncontained in this sub-property.  For internal use.\n\n@item text\nThis is a markup that is evaluated to yield the stencil.\n\n@item stencil-align-dir-y\n@itemx stencil-offset\nWithout setting one of these, the stencil is simply put at the\nend-point, centered on the line, as defined by the @code{X} and\n@code{Y} sub-properties.  Setting @code{stencil-align-dir-y} moves the\nsymbol at the edge vertically relative to the end point of the line.\nWith @code{stencil-offset}, expecting a number pair, the stencil is\nmoved along the X@tie{}axis according to the first value, the second\nvalue moves the stencil along the Y@tie{}axis.\n\n@item arrow\nProduces an arrowhead at the end-points of the line.\n\n@item padding\nControls the space between the specified end point of the line and the\nactual end.  Without padding, a glissando would start and end in the\ncenter of each note head.\n\n@end table
lyric-extender-interface	Lyric_extender	lyric-extender.cc	auto-generated heads left-padding next remove-short-autoextender right-padding thickness	The extender is a simple line at the baseline of the lyric that helps show the\nlength of a melisma (a tied or slurred note).
lyric-hyphen-interface	Lyric_hyphen	lyric-hyphen.cc	dash-period height length minimum-distance minimum-length padding thickness	A centered hyphen is simply a line between lyrics used to divide syllables.
measure-grouping-interface	Measure_grouping	measure-grouping-spanner.cc	thickness style height	This object indicates groups of beats.  Valid choices for @code{style} are\n@code{bracket} and @code{triangle}.
